dong_code,dong_name,priority_rank,cluster,cluster_name,complaint_count,trash_location_count,total_bin_count,area_size,yearly_avg_floating_population,waste_amount,total_store_count,commercial_store_count,food_store_count,cafe_store_count,pub_store_count,convenience_store_count,avg_bus_distance,avg_park_distance,avg_metro_distance,complaint_per_10000_float,log_complaint_density,bin_per_10000_float,floating_population_per_bin,floating_population_density,log_floating_population_density,log_floating_population_per_bin,waste_per_bin,log_waste_per_bin,commercial_store_density,log_commercial_store_density,weighted_access_distance,accessibility_score,complaint_density_rank,floating_population_rank,waste_amount_rank,commercial_store_rank,bin_shortage_rank,access_gap_rank,priority_score
11500593,화곡8동,1,0,고우선순위 특성형,12,2,2,593322,9922520,739440,940,276,159,33,31,26,8.44,1275.7849999999999,129.495,0.012093702003120174,2.0861355772709493,0.0020156170005200293,4961260.0,16.72366775545151,1.2485536002330522,6.695592074824568,369720.0,5.567874119020777,465.1774247373265,2.668551238405072,557.74725,7.0,7,1,3,4,1,7,16.36832726835495
11500540,화곡1동,2,0,고우선순위 특성형,12,22,27,1197746,16361273,5894880,2128,640,382,78,117,45,45.984545454545454,1350.935909090909,406.30636363636364,0.007334392623361275,1.8712454932214522,0.016502383402562867,605973.074074074,13.660052298233515,1.1661355196089096,5.782454043757991,218328.88888888888,5.339113193752967,534.3369963247633,2.728627257851,694.0777272727272,13.0,12,2,5,1,6,5,13.87871763975667
11500590,화곡본동,3,0,고우선순위 특성형,9,3,4,972735,8066068,2763780,1055,300,175,31,41,37,75.82333333333334,802.8100000000001,473.00666666666666,0.011157852872056125,2.0514555686027687,0.004959045720913833,2016517.0,8.292153567004375,0.9681163785659395,6.304602102994163,690945.0,5.839444106971267,308.40876497710065,2.490532612295707,505.63216666666665,13.1,8,3,1,9,2,12,13.850136935342576
11500570,화곡4동,4,0,고우선순위 특성형,2,4,6,852049,4121004,1370680,1059,327,192,39,29,26,27.505,1417.9525,1372.7,0.004853186262376839,1.6948846597412812,0.014559558787130516,686834.0,4.836580994754996,0.7661585166444986,5.836852417996695,228446.66666666666,5.358786726589726,383.7807450041019,2.585213331173218,1054.50225,15.2,14,11,4,6,5,1,13.394216608026648
11500560,화곡3동,5,0,고우선순위 특성형,2,3,5,521858,3651998,1061680,940,251,158,41,31,13,51.17666666666667,1152.52,180.36333333333332,0.005476454258737272,1.7463581442196918,0.01369113564684318,730399.6,6.9980684400737365,0.9029851161039786,5.86356112128498,212336.0,5.327025677141675,480.9737514802878,2.683023386998856,536.9293333333334,8.55,13,6,6,3,4,11,12.204500905166721
11500591,화곡6동,6,0,고우선순위 특성형,51,20,36,1037911,5425530,1676460,1198,449,268,44,88,36,56.4655,586.574,881.608,0.0940000331764823,2.9735897765447983,0.06635296459516397,150709.16666666666,5.227355717397734,0.794303674086682,5.178142550113596,46568.333333333336,4.668100020803099,432.59971230673926,2.637088985376186,557.3087749999999,11.649999999999999,1,9,13,5,18,8,11.830859964261624
11500615,우장산동,7,0,고우선순위 특성형,6,8,13,1261588,6954644,1532670,1247,259,145,50,13,37,23.67625,781.6125,303.17,0.008627328731707906,1.9408813348160343,0.01869254558536713,534972.6153846154,5.512611090149875,0.8137551444346597,5.728332363375561,117897.69230769231,5.071508988074709,205.29681639330747,2.3144925259203766,424.6735625,5.7,11,8,7,13,7,15,10.679526405109865
11500550,화곡2동,8,0,고우선순위 특성형,0,3,3,454621,3627488,1862250,568,110,46,12,10,32,10.306666666666667,1264.8933333333334,690.04,0.0,0.0,0.008270185869670692,1209162.6666666667,7.979147465691202,0.9532351040924364,6.082485088883512,620750.0,5.792917427854684,241.9597862835197,2.3855343968887692,750.0480000000001,12.8,18,4,2,11,3,4,10.52103602446847
11500611,발산1동,9,2,관리 검토 특성형,6,22,30,2887669,5419364,2684300,3733,631,346,129,17,47,79.66818181818182,1541.6627272727274,609.5054545454545,0.011071409855473816,2.048107985453535,0.05535704927736908,180645.46666666667,1.8767261760264076,0.4588985251157922,5.256829471455238,89476.66666666667,4.951714650357496,218.51534923150817,2.341464892931137,849.9090454545455,17.7,9,16,8,12,17,3,9.968246093216749
11500630,방화1동,10,0,고우선순위 특성형,1,14,19,1475606,7151922,1315630,1872,466,274,79,25,45,71.25571428571429,1124.8714285714286,358.39285714285717,0.0013982255399317832,1.1755771961236583,0.026566285258703883,376416.94736842107,4.846769395082427,0.7669159649817658,5.575670322133673,69243.68421052632,4.840386439012337,315.802456753361,2.5007885408161017,593.2000000000002,12.7,17,10,9,8,8,6,9.707483119950128
11500535,등촌3동,11,1,일반 관리 특성형,3,13,21,1060362,7055015,109630,1724,343,211,58,14,34,44.24538461538462,637.34,435.7238461538461,0.0042522942899483555,1.638718253459316,0.02976606002963849,335953.09523809527,6.65340232863871,0.8838545441820581,5.5262799394530395,5220.476190476191,3.7177933019955507,323.4744360888074,2.511180486335449,418.5006923076923,9.05,15,7,16,7,10,16,9.694584743559169
11500510,염창동,12,1,일반 관리 특성형,8,17,26,1732856,8212814,91290,1325,234,100,64,16,32,53.974117647058826,939.7923529411764,303.47764705882355,0.009740875660887974,1.9930337445463284,0.031657845897885915,315877.46153846156,4.73946709940122,0.7588715707022684,5.499520014148598,3511.153846153846,3.5455735314573813,135.03718716384972,2.1336576434617434,495.6276470588235,9.25,10,12,18,14,11,13,9.338888340050524
11500620,공항동,13,2,관리 검토 특성형,15,13,24,10861768,5393892,45690,1275,388,191,46,46,44,68.78461538461539,2123.71,280.99384615384616,0.02780923311034036,2.4457479031126645,0.044494772976544576,224745.5,0.4965942929364722,0.1751040847658589,5.35169293714599,1903.75,3.279837982245049,35.72162469314388,1.5649218876615016,965.028,12.55,2,20,20,20,15,2,8.284530440838363
11500530,등촌2동,14,1,일반 관리 특성형,1,9,13,910666,3771358,52000,501,102,58,21,9,10,39.56111111111111,824.4555555555555,612.3688888888888,0.0026515647679164907,1.4395797399411725,0.034470341982914376,290104.46153846156,4.14131855147771,0.7110745131965441,5.4625559049270676,4000.0,3.6021685513789974,112.00593851093595,2.053101266445929,554.0016111111111,11.2,16,13,17,15,13,9,8.244910278902982
11500604,가양2동,15,2,관리 검토 특성형,4,7,9,823874,2005234,602410,384,55,29,6,7,8,65.30571428571429,448.6871428571429,364.09000000000003,0.01994779661625526,2.3020666477798586,0.04488254238657433,222803.77777777778,2.433908583108582,0.5357887292698719,5.347924499519093,66934.44444444444,4.82565615140443,66.75778092281101,1.8309591743480471,323.2327857142857,8.7,5,15,11,17,16,17,7.9447104414086915
11500640,방화2동,16,2,관리 검토 특성형,11,9,16,6157541,4231856,1057180,1410,334,174,68,38,28,42.14777777777778,1084.451111111111,292.9811111111111,0.025993323024223886,2.4165293906826184,0.037808469853416564,264491.0,0.6872639581287401,0.22718302959055822,5.4224125406116634,66073.75,4.820035528613042,54.24243216569731,1.7422727910667797,546.8607777777777,7.700000000000001,3,18,12,18,14,10,7.894388016696292
11500520,등촌1동,17,1,일반 관리 특성형,0,7,13,650741,4744457,28630,1358,340,200,72,26,15,52.832857142857144,405.5628571428571,305.57142857142856,0.0,0.0,0.027400395872488673,364958.23076923075,7.290853042915692,0.9185992172537236,5.562244352563682,2202.3076923076924,3.3430751506869725,522.4812944013056,2.718901167612884,282.38335714285716,5.35,18,5,19,2,9,20,6.843466024775743
11500603,가양1동,18,2,관리 검토 특성형,8,42,53,4970691,3084066,1348170,4704,1426,861,268,154,55,70.43333333333332,691.2680952380952,412.25023809523816,0.02593978209286053,2.415637345631016,0.17185105636520098,58189.92452830189,0.6204501547169197,0.2096356766120869,4.764855257250985,25437.169811320753,4.405485862108586,286.8816428138462,2.459213972350013,438.4031547619047,11.1,4,19,14,10,20,14,6.773443766678558
11500641,방화3동,19,2,관리 검토 특성형,3,5,8,2558908,2381066,552880,501,117,56,23,9,18,83.312,445.188,345.63,0.01259939875669133,2.103783160103018,0.033598396684510215,297633.25,0.9305008230073141,0.2856699911076768,5.473682905805737,69110.0,4.839547177028293,45.72262855874459,1.6695272676755308,319.8737,9.1,6,17,10,19,12,18,6.719889798891963
11500605,가양3동,20,1,일반 관리 특성형,0,10,14,474228,1650212,186290,328,39,18,5,1,10,84.78399999999999,426.51300000000003,322.15700000000004,0.0,0.0,0.08483758450429399,117872.28571428571,3.4797860944524577,0.6512572773426067,5.0714153896457885,13306.42857142857,4.12409414374446,82.23892304967231,1.9203264526471069,304.55615,8.6,18,14,15,16,19,19,3.594990158733319
